Geburtsort,Anzahl
Neukirchen Jetzt Neukirchen-Vluyn,19
Northeim,19
Plauen,19
Semipalatinsk,19
Shkoder,19
St.Tönis jetzt Tönisvorst,19
Wismar,19
Akçadag,18
Amsterdam,18
Aschersleben,18
Berlin-Charlottenburg,18
Borken,18
Dshambul,18
Freiburg im Breisgau,18
Gütersloh,18
Höxter,18
Hoyerswerda,18
Karabulak,18
Kustanai,18
Lippstadt,18
nicht bekannt,18
Nordhorn,18
Novi Pazar,18
Rees,18
Rosenberg,18
Rumeln jetzt Duisburg,18
Schönebeck,18
Waldbröl,18
Balikesir,17
Birten jetzt Xanten,17
Emsdetten,17
Gemerek,17
Gotha,17
Heydebreck,17
Homberg J.Duisburg,17
Insterburg,17
Lank-Latum Jetzt Meerbusch,17
Licata,17
Linnich,17
Malowodnoje,17
Marienburg,17
Meschede,17
Salzgitter,17
Schaephuysen jetzt Rheurdt,17
Schwelm,17
Schwerte,17
Weimar,17
Wermelskirchen,17
Winterberg,17
Younine,17
Kahramanmaras,16
Reichenbach,16
Simav,16
Arnsberg,16
Avetrana,16
Besni,16
Cottbus,16
Dohuk,16
Domanic,16
Erlangen,16
Fellhammer,16
Frankfurt (Oder),16
Güstrow,16
Halberstadt,16
Itzehoe,16
Jena,16
Karasu,16
Kepsut,16
Kocani,16
Köthen,16
Langenfeld,16
Lüneburg,16
Mühlhausen,16
Neukirchen J Neukirchen-Vluyn,16
Prenzlau,16
Rheinkamp j. Moers Krs. Wesel,16
Rusaewka,16
Venlo,16
Werne,16
Worms,16
Zelinograd,16
Liegnitz,15
Adana,15
Bad Kreuznach,15
Bernburg,15
Borna,15
Dormagen,15
Eutin,15
Ferizaj,15
Fürth,15
Gaziantep,15
Grefrath,15
Homberg (Niederrhein) Jetzt Duisburg,15
Kaiserslautern,15
Loben,15
Lüdinghausen,15
Menzelen jetzt Alpen,15
Mogadischu,15
Neumünster,15
Neuruppin,15
Tiraspol,15
Wachtendonk,15
Accra,14
Bayburt,14
Brandenburg,14
Casablanca,14
Daraa,14
Freiberg,14
Gdingen,14
Helmstedt,14
Heydebreck-Cosel,14
Husum,14
Kamishli,14
Kapellen J Moers,14
Köslin,14
Kreuzburg,14
Labbeck jetzt Sonsbeck,14
Lötzen,14
Meißen,14
Neuwied,14
Ortelsburg,14
Oschersleben,14
Pritzwalk,14
Repelen-Baerl J.Moers Krs.Wesel,14
Rheinkamp J.Moers,14
Stendal,14
Troisdorf,14
Tscheljabinsk,14
Zabrze,14
Karabük,13
Knurow,13
Berlin-Wilmersdorf,13
Budapest,13
Coburg,13
Dirschau,13
Eisenhüttenstadt,13
Geilenkirchen,13
Genk,13
Gonnesa,13
Halle,13
Kapellen j. Moers,13
Kettwig jetzt Essen,13
Kilimli,13
Krasnoturjinsk,13
Martinau,13
Neukirchen-Vluyn Krs.Wesel,13
Pirna,13
Plettenberg,13
Rheinhausen J.Duisburg,13
Samsun,13
San Fernando,13
Schleswig,13
Uelzen,13
Varel,13
Veen jetzt Alpen,13
Werdohl,13
Wolfenbüttel,13
Wülfrath,13
Zagreb,13
Zemun,13
Pawlowka,12
Sarajevo,12
Bad Hersfeld,12
Bardenberg,12
Bardenberg jetzt Würselen,12
Bayreuth,12
Belluno,12
Berlin-Spandau,12
Bitburg,12
Brilon,12
Darmstadt,12
Daugavpils,12
Deutsch Piekar,12
Dsheskasgan,12
Duisburg-Hamborn J Duisburg,12
Eisenach,12
Elbistan,12
Eskisehir,12
Grudziadz,12
Heilbronn,12
Holzminden,12
Homs,12
Inegöl,12
Köln-Lindenthal,12
Korbach,12
Kranenburg,12
Landeshut,12
Landsberg,12
Loslau,12
Ludwigshafen am Rhein,12
Neukirchen J Neukirchen-Vluyn Krs Wesel,12
Osijek,12
Osjornoje,12
Regensburg,12
Resadiye,12
Rize,12
Rothenbach,12
Salzwedel,12
Schneidemühl,12
Sevelen J Issum,12
Sevilla,12
Siegburg,12
Slavonski Brod,12
Tübingen,12
Tunis,12
Walsum J Duisburg,12
Zhejiang,12
Ahaus,11
Aurich,11
Balchasch,11
Bangkok,11
Bergheim,11
Cagliari,11
Chisinau,11
Conakry,11
Emmerich,11
Frechen,11
Fulda,11
Goslar,11
Graudenz,11
Hai Phong,11
Jaffna,11
Jurga,11
Kakanj,11
Kdz. Eregli,11
Korgan,11
Leer (Ostfriesland),11
Leisnig,11
Lennestadt,11
Lisakowsk,11
Ljubljana,11
Lutherstadt Wittenberg,11
Madrid,11
Memel,11
Mersin,11
Mitrovicë,11
Moers/Krs. Wesel,11
Mossul,11
Nador,11
Neurode,11
Neustadt am Rübenberge,11
Nikolai,11
Novi Sad,11
Nowosibirsk,11
Oran,11
Orsoy j. Rheinberg,11
Orsoy J.Rheinberg Krs.Wesel,11
Pforzheim,11
Prokuplje,11
Radebeul,11
Rheinhausen,11
Rudolstadt,11
Satobolsk,11
Shekhan,11
Sinjar,11
St. Tönis jetzt Tönisvorst,11
Stargard,11
Stolp,11
Surdulica,11
Templin,11
Touissit,11
Viransehir,11
Warschau,11
Weeze,11
Wittenberge,11
Bamberg,10
Limandere,10
Nerva,10
Saarlouis,10
Antakya,10
Attendorn,10
Baden-Baden,10
Batman,10
Berlin-Pankow,10
Berlin-Schöneberg,10
Brühl,10
Celje,10
Dramatal,10
Duderstadt,10
Eberswalde,10
Fes,10
Graz,10
Gronau,10
Gujrat,10
Haldensleben,10
Hama,10
Heerlen,10
Heide,10
Hüls Jetzt Krefeld,10
Kamen,10
Kapellen J.Moers Krs.Wesel,10
Kempen jetzt Krefeld,10
Kenitra,10
Kirchhellen jetzt Bottrop,10
Krakau,10
Krefeld-Uerdingen jetzt Krefeld,10
Kurucasile,10
Kustanaj,10
Leskovac,10
Lintfort Jetzt Kamp-Lintfort,10
Manfredonia,10
Mediasch,10
Nauen,10
Odessa,10
Of,10
Papenburg,10
Rastenburg,10
Repelen-Baerl j. Moers Krs. Wesel,10
Rhede,10
Rumeln-Kaldenhausen Jetzt Duisburg,10
Sangerhausen,10
Sonsbeck,10
Starogard Gdanski,10
Tichau,10
Tomsk,10
Ungeklärt,10
Vechta,10
Waren,10
Wolfsberg,10
Wolfsburg,10
Zeitz,10
Zittau,10
